종목명,구분,코드,채권그룹,날짜(당일),3월이하(당일),6월이하(당일),9월이하(당일),1년이하(당일),1.5년이하(당일),2년이하(당일),2.5년이하(당일),3년이하(당일),4년이하(당일),5년이하(당일),7년이하(당일),10년이하(당일),15년이하(당일),20년이하(당일),30년이하(당일)
시가평가 4사평균 평택에너지앤파워,IR,BONDAV417519,공모/무보증A0,20260316,3.317,3.379,3.515,3.761,3.994,4.316,4.348,4.585,4.895,5.315,5.512,6.256,6.611,6.967,
시가평가 4사평균 평택도시공사,IR,BONDAV416253,공사/공단채AA0,20260316,2.859,2.903,2.97,3.089,3.293,3.586,3.681,3.861,3.926,4.09,4.147,4.264,4.321,4.367,
시가평가 4사평균 팬오션,IR,BONDAV402867,공모/무보증A0,20260316,2.999,3.049,3.203,3.452,3.665,3.999,4.069,4.388,4.692,5.122,5.341,6.031,6.364,6.665,
시가평가 4사평균 팜한농,IR,BONDAV417445,공모/무보증A0,20260316,2.968,3.026,3.15,3.39,3.619,3.939,3.979,4.216,4.463,4.82,5.017,5.747,6.062,6.423,
시가평가 4사평균 판토스,IR,BONDAV401191,공모/무보증AA-,20260316,3.025,3.051,3.112,3.32,3.452,3.702,3.713,3.884,3.921,4.051,4.26,5.134,5.72,6.045,
시가평가 4사평균 파주에너지서비스 주식회사,IR,BONDAV447315,공모/무보증AA-,20260316,3.12,3.161,3.218,3.412,3.557,3.812,3.849,4.063,4.153,4.337,4.53,5.362,5.961,6.264,
시가평가 4사평균 파르나스호텔(주),IR,BONDAV401860,공모/무보증A+,20260316,3.008,3.047,3.16,3.395,3.608,3.937,3.941,4.141,4.334,4.682,4.904,5.641,6.05,6.398,
시가평가 4사평균 파라다이스,IR,BONDAV403916,공모/무보증A0,20260316,2.951,2.99,3.116,3.349,3.575,3.899,3.895,4.119,4.42,4.864,5.073,5.798,6.146,6.513,
시가평가 4사평균 통영에코파워,IR,BONDAV467858,공모/무보증A+,20260316,3.036,3.083,3.195,3.422,3.636,3.948,3.956,4.148,4.379,4.723,4.913,5.634,6.044,6.399,
시가평가 4사평균 키움캐피탈,IR,BONDAV457020,기타금융채A-,20260316,3.928,4.202,4.252,4.387,4.514,5.03,5.372,5.78,6.132,6.367,6.439,6.941,7.14,7.317,
