종목명,구분,코드,채권그룹,날짜(당일),3월이하(당일),6월이하(당일),9월이하(당일),1년이하(당일),1.5년이하(당일),2년이하(당일),2.5년이하(당일),3년이하(당일),4년이하(당일),5년이하(당일),7년이하(당일),10년이하(당일),15년이하(당일),20년이하(당일),30년이하(당일)
시가평가 4사평균 통영에코파워,IR,BONDAV467858,공모/무보증A+,20260401,3.08,3.161,3.325,3.606,3.854,4.15,4.141,4.256,4.429,4.731,4.88,5.643,6.033,6.396,
시가평가 4사평균 파라다이스,IR,BONDAV403916,공모/무보증A0,20260401,2.988,3.071,3.242,3.519,3.792,4.109,4.075,4.225,4.467,4.869,5.039,5.811,6.14,6.513,
시가평가 4사평균 파르나스호텔(주),IR,BONDAV401860,공모/무보증A+,20260401,3.046,3.129,3.286,3.565,3.824,4.147,4.121,4.247,4.376,4.682,4.857,5.653,6.044,6.398,
시가평가 4사평균 파주에너지서비스 주식회사,IR,BONDAV447315,공모/무보증AA-,20260401,3.164,3.237,3.346,3.598,3.774,4.019,4.037,4.175,4.209,4.356,4.512,5.371,5.95,6.26,
시가평가 4사평균 판토스,IR,BONDAV401191,공모/무보증AA-,20260401,3.062,3.128,3.236,3.496,3.669,3.917,3.903,3.992,3.972,4.077,4.242,5.147,5.713,6.045,
시가평가 4사평균 팜한농,IR,BONDAV417445,공모/무보증A0,20260401,3.012,3.104,3.279,3.573,3.836,4.143,4.163,4.324,4.513,4.828,4.99,5.756,6.051,6.42,
시가평가 4사평균 팬오션,IR,BONDAV402867,공모/무보증A0,20260401,3.034,3.119,3.328,3.605,3.883,4.217,4.239,4.493,4.735,5.127,5.318,6.051,6.364,6.675,
시가평가 4사평균 평택도시공사,IR,BONDAV416253,공사/공단채AA0,20260401,2.854,2.946,3.086,3.278,3.502,3.765,3.825,3.934,3.976,4.085,4.132,4.271,4.312,4.363,
시가평가 4사평균 평택에너지앤파워,IR,BONDAV417519,공모/무보증A0,20260401,3.36,3.457,3.644,3.943,4.211,4.52,4.528,4.693,4.945,5.323,5.485,6.264,6.6,6.963,
시가평가 4사평균 포스코,IR,BONDAV466748,공모/무보증AA+,20260401,2.94,3.009,3.112,3.353,3.505,3.731,3.738,3.817,3.809,3.886,3.885,4.335,4.569,4.825,
시가평가 4사평균 포스코이앤씨,IR,BONDAV402510,공모/무보증A+,20260401,3.246,3.323,3.486,3.772,4.038,4.357,4.431,4.598,4.728,5.005,5.141,5.915,6.303,6.652,
시가평가 4사평균 포스코인터내셔널,IR,BONDAV406535,공모/무보증AA-,20260401,3.02,3.088,3.196,3.445,3.603,3.821,3.818,3.897,3.911,4.037,4.183,5.055,5.643,5.982,
시가평가 4사평균 포스코퓨처엠,IR,BONDAV400367,공모/무보증AA-,20260401,3.065,3.136,3.242,3.489,3.662,3.898,3.903,3.998,4.011,4.139,4.269,5.12,5.698,6.014,
시가평가 4사평균 폭스바겐파이낸셜,IR,BONDAV445790,기타금융채A+,20260401,3.036,3.246,3.381,3.592,3.784,4.159,4.27,4.553,4.819,5.038,5.207,5.853,6.008,6.263,
시가평가 4사평균 풀무원식품,IR,BONDAV413827,공모/무보증BBB+,20260401,3.596,3.829,4.247,4.612,4.978,5.726,6.016,6.306,6.465,6.661,6.792,7.228,7.52,7.916,
