종목명,구분,코드,채권그룹,날짜(당일),3월이하(당일),6월이하(당일),9월이하(당일),1년이하(당일),1.5년이하(당일),2년이하(당일),2.5년이하(당일),3년이하(당일),4년이하(당일),5년이하(당일),7년이하(당일),10년이하(당일),15년이하(당일),20년이하(당일),30년이하(당일)
시가평가 4사평균 AJ네트웍스,IR,BONDAV411919,공모/무보증BBB+,20260401,2.993,3.359,3.786,4.091,4.705,5.334,5.64,6.102,6.422,6.656,6.672,7.12,7.423,7.823,
시가평가 4사평균 BNK금융지주,IR,BONDAV418519,공모/무보증AAA,20260401,2.957,3.035,3.122,3.368,3.548,3.763,3.772,3.843,3.859,3.954,3.975,4.272,4.445,4.706,
시가평가 4사평균 BNK투자증권,IR,BONDAV440019,공모/무보증A+,20260401,3.103,3.17,3.354,3.62,3.899,4.224,4.227,4.424,4.56,4.867,5.035,5.798,6.179,6.497,
시가평가 4사평균 CJ,IR,BONDAV400104,공모/무보증AA-,20260401,3.005,3.073,3.179,3.427,3.592,3.827,3.831,3.925,3.942,4.052,4.173,5.04,5.628,5.962,
시가평가 4사평균 CJ CGV,IR,BONDAV408805,공모/무보증A-,20260401,4.997,5.125,5.343,5.658,6.065,6.444,6.581,6.865,7.152,7.597,7.702,8.452,8.754,9.171,
시가평가 4사평균 CJ ENM,IR,BONDAV400834,공모/무보증AA-,20260401,3.067,3.138,3.249,3.505,3.682,3.931,3.952,4.077,4.081,4.191,4.342,5.203,5.796,6.13,
시가평가 4사평균 CJ대한통운,IR,BONDAV400012,공모/무보증AA-,20260401,2.975,3.043,3.141,3.388,3.558,3.796,3.802,3.898,3.916,4.034,4.174,5.035,5.628,5.97,
시가평가 4사평균 CJ제일제당,IR,BONDAV412366,공모/무보증AA0,20260401,2.968,3.032,3.13,3.374,3.536,3.761,3.769,3.86,3.858,3.921,3.951,4.446,4.793,5.068,
시가평가 4사평균 CJ프레시웨이,IR,BONDAV405361,공모/무보증A0,20260401,3.103,3.198,3.374,3.669,3.922,4.222,4.311,4.549,4.795,5.176,5.341,6.119,6.46,6.825,
시가평가 4사평균 DL에너지,IR,BONDAV447436,공모/무보증A0,20260401,3.019,3.121,3.307,3.593,3.852,4.192,4.251,4.47,4.749,5.131,5.299,6.084,6.428,6.762,
시가평가 4사평균 DL이앤씨,IR,BONDAV463270,공모/무보증AA-,20260401,3.105,3.179,3.283,3.533,3.701,3.934,3.962,4.07,4.089,4.222,4.364,5.227,5.816,6.145,
시가평가 4사평균 E1,IR,BONDAV401794,공모/무보증A+,20260401,3.031,3.103,3.255,3.515,3.753,4.038,4.049,4.206,4.379,4.63,4.771,5.544,5.924,6.281,
시가평가 4사평균 GS,IR,BONDAV409006,공모/무보증AA0,20260401,3.045,3.118,3.225,3.474,3.647,3.869,3.876,3.97,3.976,4.059,4.119,4.796,5.273,5.56,
시가평가 4사평균 GS건설,IR,BONDAV400636,공모/무보증A0,20260401,3.919,4.002,4.202,4.488,4.79,5.161,5.199,5.407,5.564,5.951,6.139,6.893,7.219,7.557,
시가평가 4사평균 GS글로벌,IR,BONDAV400125,공모/무보증A0,20260401,3.308,3.404,3.583,3.875,4.136,4.436,4.465,4.655,4.921,5.168,5.302,6.074,6.378,6.735,
시가평가 4사평균 GS리테일,IR,BONDAV400707,공모/무보증AA0,20260401,2.969,3.037,3.135,3.387,3.547,3.768,3.777,3.861,3.871,3.982,4.039,4.743,5.223,5.504,
시가평가 4사평균 GS칼텍스,IR,BONDAV400508,공모/무보증AA+,20260401,2.948,3.019,3.114,3.35,3.511,3.738,3.741,3.831,3.828,3.898,3.908,4.361,4.599,4.855,
시가평가 4사평균 GS파워,IR,BONDAV404484,공모/무보증AA0,20260401,2.954,3.022,3.11,3.362,3.528,3.737,3.742,3.822,3.819,3.9,3.957,4.523,4.9,5.188,
시가평가 4사평균 HDC,IR,BONDAV401263,공모/무보증A0,20260401,3.382,3.481,3.672,3.958,4.212,4.52,4.573,4.798,5.043,5.421,5.585,6.351,6.718,7.088,
시가평가 4사평균 HDC현대산업개발,IR,BONDAV455766,공모/무보증A0,20260401,3.512,3.608,3.795,4.095,4.363,4.672,4.793,5.052,5.298,5.637,5.775,6.548,6.89,7.25,
시가평가 4사평균 HD건설기계,IR,BONDAV452933,공모/무보증A0,20260401,3.134,3.233,3.404,3.7,3.947,4.24,4.28,4.463,4.673,4.996,5.181,5.961,6.289,6.65,
시가평가 4사평균 HD현대,IR,BONDAV452932,공모/무보증AA-,20260401,2.981,3.054,3.176,3.438,3.623,3.876,3.896,4.005,4.051,4.186,4.349,5.21,5.768,6.1,
시가평가 4사평균 HD현대인프라코어(~260123),IR,BONDAV405534, , , , , , , , , , , , , , , , ,
시가평가 4사평균 HD현대일렉트릭,IR,BONDAV452931,공모/무보증AA-,20260401,3.145,3.219,3.361,3.62,3.824,4.106,4.152,4.253,4.336,4.501,4.652,5.493,6.045,6.387,
시가평가 4사평균 HD현대중공업,IR,BONDAV458676,공모/무보증AA-,20260401,3.092,3.168,3.304,3.569,3.802,4.068,4.121,4.242,4.376,4.566,4.717,5.565,6.141,6.484,
시가평가 4사평균 HK이노엔,IR,BONDAV444919,공모/무보증A0,20260401,3.197,3.289,3.476,3.765,4.03,4.344,4.394,4.627,4.931,5.338,5.502,6.287,6.61,6.965,
시가평가 4사평균 HL D&I,IR,BONDAV401479,공모/무보증BBB+,20260401,5.103,5.738,6.296,6.682,7.188,8.064,8.328,8.685,8.856,9.049,9.069,9.533,9.749,10.136,
시가평가 4사평균 HL만도,IR,BONDAV446015,공모/무보증AA-,20260401,3.027,3.097,3.204,3.454,3.626,3.861,3.866,3.956,3.956,4.051,4.201,5.06,5.655,5.997,
시가평가 4사평균 HL홀딩스,IR,BONDAV404107,공모/무보증A0,20260401,3.194,3.292,3.482,3.775,4.036,4.316,4.375,4.565,4.81,5.163,5.327,6.094,6.415,6.785,
시가평가 4사평균 HS효성첨단소재,IR,BONDAV456217,공모/무보증A0,20260401,3.295,3.391,3.58,3.876,4.131,4.413,4.436,4.588,4.826,5.058,5.23,5.999,6.295,6.653,
시가평가 4사평균 INVENI,IR,BONDAV401536,공모/무보증AA-,20260401,3.082,3.154,3.266,3.517,3.689,3.934,3.958,4.081,4.112,4.25,4.401,5.272,5.878,6.215,
시가평가 4사평균 JB 우리캐피탈,IR,BONDAV403713,기타금융채AA-,20260401,3.049,3.121,3.234,3.52,3.711,3.954,3.937,4.067,4.095,4.214,4.612,5.465,5.833,6.122,
시가평가 4사평균 JB금융지주,IR,BONDAV442953,공모/무보증AA+,20260401,3.015,3.09,3.193,3.437,3.608,3.852,3.946,4.071,4.135,4.232,4.273,4.733,4.979,5.245,
시가평가 4사평균 KB금융,IR,BONDAV413986,공모/무보증AAA,20260401,2.928,2.996,3.079,3.318,3.489,3.693,3.699,3.766,3.777,3.855,3.88,4.191,4.367,4.628,
시가평가 4사평균 KB증권,IR,BONDAV400345,공모/무보증AA+,20260401,2.99,3.067,3.169,3.413,3.576,3.806,3.816,3.902,3.898,3.965,4.004,4.463,4.703,4.969,
시가평가 4사평균 KB캐피탈,IR,BONDAV402196,기타금융채AA-,20260401,3.016,3.075,3.187,3.471,3.649,3.881,3.873,4.002,4.018,4.141,4.538,5.373,5.725,6.017,
시가평가 4사평균 LF,IR,BONDAV413163,공모/무보증AA-,20260401,3.029,3.098,3.209,3.457,3.621,3.854,3.862,3.956,3.986,4.117,4.249,5.121,5.71,6.04,
시가평가 4사평균 LG디스플레이,IR,BONDAV403922,공모/무보증A0,20260401,3.362,3.461,3.643,3.938,4.201,4.515,4.573,4.787,5.001,5.354,5.512,6.281,6.591,6.955,
시가평가 4사평균 LG씨엔에스,IR,BONDAV403826,공모/무보증AA0,20260401,2.989,3.067,3.168,3.417,3.589,3.812,3.819,3.907,3.907,3.992,4.04,4.749,5.23,5.518,
시가평가 4사평균 LG에너지솔루션,IR,BONDAV463087,공모/무보증AA0,20260401,3.043,3.112,3.217,3.469,3.641,3.873,3.882,3.97,3.967,4.047,4.05,4.707,5.175,5.456,
시가평가 4사평균 LG유플러스,IR,BONDAV403264,공모/무보증AA+,20260401,2.95,3.019,3.117,3.356,3.516,3.722,3.724,3.813,3.805,3.882,3.879,4.265,4.526,4.792,
시가평가 4사평균 LG이노텍,IR,BONDAV401107,공모/무보증AA-,20260401,2.955,3.023,3.122,3.369,3.528,3.744,3.752,3.848,3.84,3.919,4.017,4.801,5.371,5.702,
시가평가 4사평균 LG전자,IR,BONDAV406572,공모/무보증AA0,20260401,2.956,3.024,3.119,3.365,3.534,3.756,3.761,3.845,3.839,3.918,3.917,4.37,4.745,5.013,
시가평가 4사평균 LG헬로비전,IR,BONDAV412160,공모/무보증AA-,20260401,2.975,3.044,3.156,3.403,3.571,3.799,3.8,3.885,3.899,4.026,4.157,5.029,5.603,5.939,
시가평가 4사평균 LG화학,IR,BONDAV404998,공모/무보증AA+,20260401,2.971,3.046,3.147,3.391,3.562,3.793,3.793,3.875,3.863,3.946,3.946,4.4,4.643,4.897,
시가평가 4사평균 LIG넥스원,IR,BONDAV409003,공모/무보증AA0,20260401,3.013,3.078,3.178,3.431,3.609,3.841,3.829,3.934,3.95,4.098,4.137,4.854,5.322,5.603,
시가평가 4사평균 LS,IR,BONDAV400626,공모/무보증A+,20260401,3.001,3.068,3.202,3.469,3.659,3.942,3.96,4.127,4.319,4.611,4.757,5.527,5.908,6.267,
시가평가 4사평균 LS네트웍스,IR,BONDAV400068,공모/무보증BBB+,20260401,3.255,3.698,4.205,4.612,5.34,6.242,6.517,6.885,7.044,7.255,7.28,7.739,7.992,8.374,
시가평가 4사평균 LX인터내셔널,IR,BONDAV400112,공모/무보증AA-,20260401,3.071,3.152,3.266,3.517,3.693,3.944,3.958,4.051,4.084,4.22,4.357,5.231,5.82,6.155,
시가평가 4사평균 LX하우시스,IR,BONDAV414723,공모/무보증A+,20260401,3.008,3.083,3.212,3.486,3.715,3.999,4.04,4.192,4.362,4.656,4.802,5.563,5.953,6.309,
시가평가 4사평균 LX홀딩스,IR,BONDAV476748,공모/무보증AA-,20260401,2.955,3.021,3.129,3.389,3.556,3.801,3.785,3.874,3.872,4.02,4.165,5.053,5.623,5.965,
시가평가 4사평균 NAVER,IR,BONDAV411456,공모/무보증AA+,20260401,2.975,3.041,3.145,3.389,3.557,3.785,3.79,3.877,3.874,3.946,3.975,4.438,4.693,4.96,
시가평가 4사평균 NH투자증권(구 우리투자),IR,BONDAV400594,공모/무보증AA+,20260401,2.985,3.061,3.164,3.41,3.577,3.805,3.814,3.9,3.899,3.98,4.049,4.508,4.764,5.032,
시가평가 4사평균 OCI,IR,BONDAV470119,공모/무보증A+,20260401,3.094,3.176,3.345,3.627,3.869,4.164,4.165,4.282,4.422,4.721,4.864,5.635,6.023,6.379,
시가평가 4사평균 S-Oil,IR,BONDAV401095,공모/무보증AA+,20260401,2.945,3.02,3.117,3.358,3.527,3.755,3.756,3.846,3.84,3.882,3.871,4.096,4.478,4.744,
시가평가 4사평균 SBS,IR,BONDAV403896,공모/무보증AA0,20260401,3.04,3.108,3.215,3.465,3.638,3.866,3.889,4.004,4.011,4.116,4.172,4.871,5.348,5.629,
시가평가 4사평균 SK,IR,BONDAV403914,공모/무보증AA+,20260401,3.016,3.094,3.188,3.432,3.601,3.833,3.838,3.928,3.925,3.995,3.984,4.294,4.534,4.797,
시가평가 4사평균 SKC,IR,BONDAV401179,공모/무보증A0,20260401,3.418,3.517,3.708,4.013,4.282,4.64,4.701,4.934,5.184,5.553,5.715,6.481,6.805,7.157,
시가평가 4사평균 SK가스,IR,BONDAV401867,공모/무보증AA-,20260401,2.974,3.039,3.134,3.382,3.543,3.769,3.775,3.871,3.856,3.959,4.097,4.953,5.541,5.884,
시가평가 4사평균 SK네트웍스,IR,BONDAV400174,공모/무보증AA-,20260401,3.135,3.205,3.31,3.567,3.738,3.98,3.977,4.077,4.092,4.211,4.327,5.208,5.78,6.11,
시가평가 4사평균 SK디스커버리,IR,BONDAV400612,공모/무보증A+,20260401,3.114,3.191,3.355,3.631,3.879,4.185,4.228,4.387,4.544,4.837,4.981,5.753,6.148,6.499,
시가평가 4사평균 SK렌터카,IR,BONDAV409915,공모/무보증A0,20260401,3.15,3.242,3.422,3.718,3.978,4.295,4.313,4.508,4.672,4.998,5.144,5.923,6.246,6.583,
시가평가 4사평균 SK리츠,IR,BONDAV466755,공모/무보증AA-,20260401,3.226,3.3,3.419,3.672,3.845,4.085,4.091,4.191,4.196,4.334,4.477,5.348,5.938,6.26,
시가평가 4사평균 SK브로드밴드,IR,BONDAV403363,공모/무보증AA0,20260401,2.999,3.068,3.173,3.424,3.601,3.823,3.834,3.927,3.931,4.007,3.989,4.34,4.781,5.073,
시가평가 4사평균 SK쉴더스,IR,BONDAV464755,공모/무보증A-,20260401,3.376,3.482,3.701,3.988,4.299,4.61,4.686,4.934,5.212,5.582,5.683,6.425,6.716,7.107,
시가평가 4사평균 SK실트론,IR,BONDAV402927,공모/무보증A+,20260401,3.064,3.14,3.297,3.572,3.799,4.07,4.075,4.229,4.37,4.667,4.835,5.61,5.989,6.344,
시가평가 4사평균 SK아이이테크놀로지,IR,BONDAV472164,공모/무보증A0,20260401,3.345,3.447,3.637,3.945,4.297,4.71,4.77,5.018,5.264,5.644,5.807,6.576,6.801,7.165,
시가평가 4사평균 SK에너지,IR,BONDAV418403,공모/무보증AA0,20260401,3.067,3.136,3.239,3.488,3.663,3.887,3.898,3.993,3.999,4.084,4.144,4.714,5.128,5.415,
시가평가 4사평균 SK이노베이션,IR,BONDAV412242,공모/무보증AA0,20260401,3.05,3.119,3.225,3.482,3.656,3.882,3.891,3.984,3.987,4.056,4.042,4.413,4.84,5.128,
시가평가 4사평균 SK인텔릭스,IR,BONDAV453966,공모/무보증A+,20260401,3.086,3.153,3.306,3.582,3.823,4.114,4.118,4.247,4.4,4.701,4.85,5.613,5.993,6.357,
시가평가 4사평균 SK지오센트릭,IR,BONDAV418404,공모/무보증AA-,20260401,3.235,3.306,3.442,3.732,3.916,4.159,4.155,4.236,4.239,4.354,4.487,5.273,5.851,6.194,
시가평가 4사평균 SK케미칼,IR,BONDAV454872,공모/무보증A+,20260401,3.025,3.098,3.246,3.519,3.746,4.042,4.078,4.235,4.384,4.686,4.831,5.602,5.989,6.346,
시가평가 4사평균 SK텔레콤,IR,BONDAV401767,공모/무보증AAA,20260401,2.93,3.007,3.092,3.342,3.517,3.723,3.724,3.791,3.793,3.855,3.843,3.959,4.115,4.359,
시가평가 4사평균 SK하이닉스,IR,BONDAV400066,공모/무보증AA+,20260401,2.942,3.016,3.115,3.36,3.526,3.74,3.741,3.82,3.818,3.883,3.885,4.341,4.598,4.864,
시가평가 4사평균 SPC삼립,IR,BONDAV400561,공모/무보증A+,20260401,2.943,3.01,3.194,3.45,3.629,3.944,3.947,4.144,4.28,4.587,4.755,5.518,5.899,6.217,
시가평가 4사평균 iM금융지주,IR,BONDAV418796,공모/무보증AAA,20260401,2.977,3.056,3.144,3.388,3.563,3.775,3.782,3.852,3.886,3.985,4.011,4.294,4.467,4.716,
시가평가 4사평균 가온전선,IR,BONDAV400050,공모/무보증A0,20260401,3.056,3.156,3.342,3.629,3.899,4.232,4.232,4.409,4.662,5.061,5.221,6.035,6.345,6.705,
시가평가 4사평균 경기주택도시공사,IR,BONDAV404130,공사/공단채AAA,20260401,2.838,2.933,3.048,3.233,3.426,3.661,3.689,3.769,3.793,3.875,3.912,4.002,4.004,4.022,3.948
시가평가 4사평균 경기평택항만공사,IR,BONDAV459182,공사/공단채AA+,20260401,2.97,3.064,3.196,3.371,3.569,3.825,3.861,3.958,3.981,4.08,4.104,4.236,4.245,4.297,
시가평가 4사평균 경남개발공사,IR,BONDAV411686,공사/공단채AA+,20260401,2.865,2.956,3.082,3.254,3.449,3.709,3.741,3.829,3.862,3.961,3.993,4.126,4.14,4.188,
시가평가 4사평균 경남은행,IR,BONDAV445405,은행채AA+,20260401,2.824,2.918,3.017,3.22,3.482,3.651,3.656,3.767,3.78,3.924,3.933,4.202,4.41,4.592,
시가평가 4사평균 경상북도개발공사,IR,BONDAV412425,공사/공단채AA+,20260401,2.869,2.967,3.093,3.261,3.461,3.72,3.755,3.844,3.876,3.984,4.012,4.144,4.16,4.203,
시가평가 4사평균 고려아연,IR,BONDAV401013,공모/무보증AA0,20260401,3.18,3.254,3.362,3.616,3.801,4.041,4.047,4.144,4.156,4.258,4.34,5.034,5.496,5.786,
시가평가 4사평균 고양도시관리공사,IR,BONDAV464605,공사/공단채AA0,20260401,2.899,2.991,3.13,3.317,3.552,3.827,3.891,3.994,4.029,4.134,4.186,4.321,4.364,4.403,
시가평가 4사평균 과천도시공사,IR,BONDAV462757,공사/공단채AA0,20260401,2.94,3.034,3.171,3.364,3.595,3.855,3.908,3.996,4.064,4.173,4.22,4.364,4.406,4.447,
시가평가 4사평균 광주광역시도시공사,IR,BONDAV404932,공사/공단채AA+,20260401,2.875,2.968,3.101,3.273,3.467,3.725,3.757,3.848,3.876,3.979,4.013,4.145,4.172,4.21,
시가평가 4사평균 광주신세계,IR,BONDAV412715,공모/무보증AA-,20260401,2.987,3.053,3.159,3.426,3.601,3.851,3.88,4.007,4.022,4.18,4.33,5.235,5.803,6.132,
시가평가 4사평균 광주은행,IR,BONDAV445406,은행채AA+,20260401,2.833,2.924,3.027,3.239,3.495,3.659,3.658,3.776,3.789,3.932,3.944,4.208,4.42,4.602,
시가평가 4사평균 광해광업공단,IR,BONDAV465214,공사/공단채AAA,20260401,2.836,2.928,3.044,3.226,3.415,3.644,3.669,3.749,3.769,3.851,3.893,3.993,3.998,4.017,3.938
시가평가 4사평균 교보증권,IR,BONDAV403061,공모/무보증AA-,20260401,3.212,3.286,3.417,3.682,3.859,4.092,4.106,4.201,4.237,4.396,4.559,5.42,6.005,6.347,
시가평가 4사평균 국가철도공단,IR,BONDAV408572,공사/공단채AAA,20260401,2.8,2.893,3.007,3.189,3.378,3.61,3.637,3.721,3.732,3.808,3.821,3.898,3.886,3.887,3.801
시가평가 4사평균 국도화학,IR,BONDAV400769,공모/무보증A+,20260401,3.185,3.26,3.42,3.705,3.955,4.265,4.325,4.511,4.7,5.018,5.17,5.941,6.333,6.691,
시가평가 4사평균 국민은행,IR,BONDAV402313,은행채AAA,20260401,2.81,2.9,2.994,3.185,3.423,3.573,3.582,3.702,3.714,3.855,3.864,4.127,4.271,4.404,
시가평가 4사평균 금호석유화학,IR,BONDAV401178,공모/무보증A+,20260401,3.02,3.091,3.242,3.527,3.765,4.056,4.081,4.207,4.327,4.526,4.672,5.449,5.838,6.197,
시가평가 4사평균 금호타이어,IR,BONDAV407726,공모/무보증A0,20260401,3.156,3.256,3.432,3.719,3.991,4.294,4.275,4.375,4.61,5.009,5.169,5.957,6.267,6.628,
시가평가 4사평균 기아,IR,BONDAV400027,공모/무보증AAA,20260401,2.95,3.027,3.114,3.357,3.535,3.758,3.779,3.857,3.867,3.944,3.98,4.374,4.6,4.851,
시가평가 4사평균 기업은행,IR,BONDAV402411,은행채AAA(중금-이표),20260401,2.788,2.875,2.962,3.136,3.359,3.527,3.517,3.615,3.622,3.786,3.782,4.059,4.196,4.327,
시가평가 4사평균 김해시도시개발공사,IR,BONDAV456601,공사/공단채AA0,20260401,2.902,2.991,3.133,3.32,3.544,3.809,3.854,3.939,3.981,4.093,4.134,4.275,4.343,4.368,
시가평가 4사평균 나래에너지서비스,IR,BONDAV446710,공모/무보증AA-,20260401,2.995,3.061,3.169,3.429,3.601,3.861,3.848,3.959,3.96,4.11,4.255,5.162,5.728,6.057,
시가평가 4사평균 넥센타이어,IR,BONDAV400235,공모/무보증A0,20260401,3.039,3.131,3.3,3.591,3.828,4.123,4.153,4.323,4.583,4.938,5.1,5.871,6.186,6.538,
시가평가 4사평균 넷마블,IR,BONDAV462382,공모/무보증A+,20260401,3.603,3.67,3.859,4.13,4.409,4.724,4.757,4.974,5.11,5.417,5.585,6.348,6.729,7.047,
시가평가 4사평균 녹십자,IR,BONDAV400628,공모/무보증A+,20260401,3.01,3.089,3.238,3.505,3.74,4.012,4.06,4.216,4.382,4.661,4.815,5.578,5.959,6.322,
시가평가 4사평균 녹십자홀딩스,IR,BONDAV400525,공모/무보증A+,20260401,2.986,3.066,3.228,3.503,3.757,4.082,4.088,4.27,4.408,4.715,4.87,5.651,6.021,6.34,
시가평가 4사평균 농심홀딩스,IR,BONDAV409805,공모/무보증AA0,20260401,2.892,2.952,3.06,3.31,3.49,3.732,3.708,3.838,3.829,3.934,3.987,4.685,5.152,5.423,
시가평가 4사평균 농어촌공사,IR,BONDAV404019,공사/공단채AAA,20260401,2.801,2.896,3.007,3.19,3.38,3.605,3.636,3.716,3.733,3.815,3.828,3.908,3.901,3.91,3.835
시가평가 4사평균 농협금융지주,IR,BONDAV440495,공모/무보증AAA,20260401,2.931,3.002,3.082,3.326,3.495,3.705,3.71,3.771,3.777,3.854,3.889,4.196,4.353,4.604,
시가평가 4사평균 농협은행,IR,BONDAV419845,은행채AAA,20260401,2.81,2.9,2.994,3.185,3.423,3.573,3.582,3.702,3.714,3.855,3.864,4.127,4.271,4.404,
시가평가 4사평균 농협중앙회,IR,BONDAV403432,공사/공단채AAA,20260401,2.805,2.904,3.025,3.217,3.401,3.635,3.655,3.726,3.744,3.82,3.831,3.911,3.896,3.909,3.83
시가평가 4사평균 다우기술,IR,BONDAV402359,공모/무보증A0,20260401,3.075,3.168,3.36,3.652,3.909,4.208,4.273,4.485,4.739,5.111,5.283,6.038,6.364,6.702,
시가평가 4사평균 대구교통공사,IR,BONDAV404908,공사/공단채AA+,20260401,2.89,2.986,3.114,3.29,3.482,3.743,3.774,3.868,3.901,3.998,4.025,4.157,4.18,4.223,
시가평가 4사평균 대구도시개발공사,IR,BONDAV404004,공사/공단채AA+,20260401,2.858,2.951,3.078,3.246,3.443,3.702,3.733,3.822,3.852,3.955,3.987,4.121,4.138,4.182,
시가평가 4사평균 대림(~260129),IR,BONDAV409924, , , , , , , , , , , , , , , , ,
시가평가 4사평균 대상,IR,BONDAV400168,공모/무보증AA-,20260401,2.969,3.037,3.139,3.384,3.547,3.777,3.783,3.882,3.906,4.041,4.173,5.049,5.638,5.969,
시가평가 4사평균 대상홀딩스,IR,BONDAV413099,공모/무보증AA-,20260401,3.09,3.173,3.281,3.53,3.701,3.933,3.935,4.031,4.05,4.192,4.344,5.219,5.828,6.16,
시가평가 4사평균 대성에너지,IR,BONDAV415699,공모/무보증A+,20260401,2.955,3.022,3.176,3.431,3.65,3.927,3.946,4.097,4.238,4.55,4.714,5.468,5.855,6.194,
시가평가 4사평균 대성홀딩스,IR,BONDAV401671,공모/무보증A+,20260401,2.99,3.052,3.221,3.491,3.76,4.067,4.068,4.22,4.363,4.665,4.829,5.583,5.97,6.309,
시가평가 4사평균 대신에프앤아이,IR,BONDAV413422,공모/무보증A+,20260401,3.235,3.32,3.498,3.782,4.031,4.335,4.384,4.554,4.742,5.058,5.217,5.978,6.403,6.766,
시가평가 4사평균 대신자산신탁,IR,BONDAV459183,공모/무보증BBB+,20260401,3.92,4.363,4.87,5.277,6.005,6.907,7.182,7.55,7.709,7.92,7.945,8.404,8.657,9.039,
시가평가 4사평균 대신증권,IR,BONDAV400354,공모/무보증AA-,20260401,3.131,3.204,3.316,3.564,3.738,3.974,4.005,4.115,4.157,4.292,4.442,5.309,5.901,6.244,
시가평가 4사평균 대웅제약,IR,BONDAV406989,공모/무보증A+,20260401,3.079,3.155,3.316,3.589,3.824,4.113,4.145,4.287,4.445,4.747,4.894,5.665,6.054,6.412,
시가평가 4사평균 대전도시공사,IR,BONDAV404067,공사/공단채AA+,20260401,2.848,2.944,3.07,3.242,3.436,3.694,3.73,3.824,3.854,3.95,3.975,4.104,4.123,4.163,
시가평가 4사평균 대한전선,IR,BONDAV400144,공모/무보증A0,20260401,2.993,3.061,3.232,3.482,3.742,4.035,4.005,4.137,4.405,4.819,5.004,5.778,6.092,6.463,
시가평가 4사평균 대한제당,IR,BONDAV400179,공모/무보증A-,20260401,3.336,3.422,3.647,3.94,4.24,4.578,4.706,4.981,5.269,5.732,5.843,6.585,6.921,7.312,
시가평가 4사평균 대한항공,IR,BONDAV400349,공모/무보증A0,20260401,3.07,3.154,3.32,3.585,3.802,4.096,4.134,4.269,4.445,4.538,4.709,5.454,5.785,6.145,
시가평가 4사평균 동아쏘시오홀딩스,IR,BONDAV400064,공모/무보증A0,20260401,3.133,3.22,3.385,3.673,3.928,4.223,4.26,4.442,4.711,5.113,5.264,6.041,6.386,6.755,
시가평가 4사평균 동아에스티,IR,BONDAV441970,공모/무보증A+,20260401,3.083,3.166,3.328,3.611,3.856,4.151,4.165,4.3,4.485,4.788,4.932,5.7,6.091,6.454,
시가평가 4사평균 동원F&B,IR,BONDAV404971,공모/무보증A+,20260401,2.999,3.075,3.227,3.491,3.72,4.007,4.013,4.151,4.303,4.538,4.685,5.46,5.826,6.177,
시가평가 4사평균 동원산업,IR,BONDAV400604,공모/무보증AA-,20260401,3.022,3.088,3.194,3.448,3.611,3.829,3.833,3.923,3.929,4.056,4.187,5.059,5.643,5.975,
시가평가 4사평균 동원시스템즈,IR,BONDAV401482,공모/무보증A+,20260401,2.998,3.069,3.213,3.484,3.709,3.983,3.991,4.134,4.3,4.543,4.682,5.46,5.843,6.191,
시가평가 4사평균 동화기업,IR,BONDAV402590,공모/무보증BBB+,20260401,3.84,4.265,4.599,4.983,5.543,6.347,6.593,6.94,7.118,7.401,7.418,7.887,8.216,8.613,
시가평가 4사평균 두산,IR,BONDAV400015,공모/무보증BBB+,20260401,2.999,3.233,3.57,3.816,4.213,4.772,5.047,5.27,5.436,5.671,5.7,6.148,6.353,6.751,
시가평가 4사평균 두산에너빌리티,IR,BONDAV403787,공모/무보증BBB+,20260401,2.994,3.146,3.351,3.601,3.89,4.731,5.007,5.352,5.516,5.721,5.748,6.188,6.446,6.849,
시가평가 4사평균 두산퓨얼셀,IR,BONDAV459534,공모/무보증BBB0,20260401,3.234,3.651,3.979,4.283,4.799,5.475,5.822,6.15,6.297,6.503,6.523,7.009,7.277,7.739,
시가평가 4사평균 디비캐피탈,IR,BONDAV403840,기타금융채BBB+,20260401,4.358,4.864,5.13,5.372,5.577,6.356,6.624,6.948,7.065,7.281,7.358,7.954,8.05,8.474,
시가평가 4사평균 롯데건설,IR,BONDAV400082,공모/무보증A0,20260401,4.674,4.833,5.107,5.423,5.692,6.009,6.056,6.285,6.52,6.899,7.051,7.816,8.085,8.422,
시가평가 4사평균 롯데글로벌로지스,IR,BONDAV404011,공모/무보증A0,20260401,3.187,3.279,3.465,3.759,4.018,4.318,4.359,4.539,4.741,5.051,5.207,5.984,6.275,6.638,
시가평가 4사평균 롯데렌탈,IR,BONDAV410747,공모/무보증A+,20260401,3.119,3.199,3.361,3.641,3.886,4.188,4.201,4.345,4.444,4.716,4.839,5.637,6.083,6.437,
시가평가 4사평균 롯데물산,IR,BONDAV403101,공모/무보증A+,20260401,3.301,3.378,3.521,3.765,3.996,4.297,4.318,4.46,4.559,4.761,4.85,5.734,6.256,6.606,
시가평가 4사평균 롯데쇼핑,IR,BONDAV402353,공모/무보증AA-,20260401,3.177,3.254,3.363,3.623,3.796,4.038,4.065,4.163,4.169,4.272,4.386,5.122,5.685,6.015,
시가평가 4사평균 롯데웰푸드,IR,BONDAV454217,공모/무보증AA0,20260401,3.001,3.071,3.169,3.417,3.582,3.791,3.798,3.885,3.876,3.951,4.005,4.696,5.171,5.451,
시가평가 4사평균 롯데지주,IR,BONDAV400499,공모/무보증A+,20260401,3.27,3.349,3.51,3.764,4.006,4.312,4.341,4.484,4.589,4.737,4.827,5.59,5.989,6.337,
